date, pm25, pm10, no2
2024/4/1, 29, 6, 1
2024/4/2, 16, 4, 1
2024/4/3, 9, 8, 4
2024/4/4, 11, 4, 7
2024/4/5, 13, 6, 5
2024/4/6, 15, 12, 3
2024/4/7, 19, 31, 6
2024/4/8, 28, 31, 13
2024/4/9, 35, 36, 3
2024/4/10, 30, 7, 4
2024/4/11, 14, 17, 3
2024/4/12, 24, 6, 2
2024/4/13, 10, 2, 1
2024/4/14, 7, 7, 2
2024/4/15, 7, 8, 3
2024/4/16, 11, 12, 2
2024/4/17, 13, 14, 4
2024/4/18, 20, 19, 4
2024/4/19, 26, 14, 3
2024/4/20, 17, 12, 2
2024/4/21, 17, 17, 2
2024/4/22, 18, 15, 3
2024/4/23, 23, 31, 8
2024/4/24, 39, 8, 4
2024/4/25, 24, 5, 8
2024/4/26, 14, 9, 6
2024/4/27, 27, 16, 6
2024/4/28, 33, 30, 8
2024/4/29, 49, , 
2024/1/1, 13, 4, 4
2024/1/2, 11, 6, 2
2024/1/3, 8, 4, 3
2024/1/4, 12, 5, 7
2024/1/5, 15, 6, 6
2024/1/6, 20, 12, 13
2024/1/7, 38, 6, 7
2024/1/8, 20, 3, 5
2024/1/9, 11, 2, 6
2024/1/10, 7, 2, 8
2024/1/11, 5, 1, 3
2024/1/12, 4, 4, 3
2024/1/13, 12, 3, 3
2024/1/14, 11, 2, 2
2024/1/15, 5, 4, 10
2024/1/16, 12, 3, 5
2024/1/17, 11, 3, 4
2024/1/18, 11, 8, 16
2024/1/19, 26, 13, 12
2024/1/20, 40, 5, 3
2024/1/21, 18, 4, 3
2024/1/22, 13, 4, 4
2024/1/23, 12, 3, 8
2024/1/24, 11, 2, 3
2024/1/25, 5, 3, 4
2024/1/26, 10, 3, 5
2024/1/27, 9, 4, 5
2024/1/28, 13, 8, 5
2024/1/29, 24, 11, 10
2024/1/30, 37, 5, 5
2024/1/31, 15, 13, 2
2024/2/1, 12, 16, 5
2024/2/2, 15, 6, 1
2024/2/3, 8, 8, 2
2024/2/4, 11, 10, 5
2024/2/5, 10, 31, 10
2024/2/6, 33, 27, 4
2024/2/7, 27, 46, 11
2024/2/8, 46, 6, 7
2024/2/9, 18, 5, 3
2024/2/10, 17, 7, 2
2024/2/11, 23, 10, 4
2024/2/12, 34, 5, 7
2024/2/13, 17, 10, 12
2024/2/14, 32, 10, 12
2024/2/15, 33, 5, 5
2024/2/16, 18, 5, 2
2024/2/17, 6, 24, 6
2024/2/18, 17, 6, 7
2024/2/19, 21, 6, 5
2024/2/20, 19, 6, 8
2024/2/21, 18, 6, 5
2024/2/22, 20, 12, 4
2024/2/23, 25, 16, 7
2024/2/24, 24, 9, 6
2024/2/25, 26, 12, 10
2024/2/26, 39, 10, 10
2024/2/27, 32, 20, 6
2024/2/28, 30, 19, 3
2024/2/29, 29, 12, 4
2024/3/1, 41, 19, 4
2024/3/2, 55, 16, 4
2024/3/3, 47, 15, 5
2024/3/4, 47, 12, 4
2024/3/5, 36, 18, 11
2024/3/6, 24, 27, 11
2024/3/7, 31, 13, 7
2024/3/8, 21, 6, 3
2024/3/9, 16, 18, 4
2024/3/10, 19, 14, 7
2024/3/11, 17, 12, 9
2024/3/12, 20, 12, 7
2024/3/13, 34, 12, 4
2024/3/14, 38, 11, 4
2024/3/15, 32, 7, 3
2024/3/16, 23, 19, 1
2024/3/17, 13, 28, 5
2024/3/18, 18, 24, 7
2024/3/19, 23, 7, 6
2024/3/20, 23, 11, 8
2024/3/21, 31, 5, 5
2024/3/22, 16, 15, 4
2024/3/23, 21, 7, 4
2024/3/24, 17, 30, 6
2024/3/25, 30, 14, 6
2024/3/26, 26, 28, 7
2024/3/27, 45, 35, 7
2024/3/28, 51, 20, 4
2024/3/29, 38, 16, 4
2024/3/30, 25, 12, 5
2024/3/31, 26, 13, 2
2023/10/1, 8, 4, 6
2023/10/2, 13, 6, 7
2023/10/3, 18, 3, 3
2023/10/4, 9, 3, 4
2023/10/5, 7, 3, 5
2023/10/6, 8, 2, 
2023/10/7, 4, 2, 1
2023/10/8, 5, 1, 4
2023/10/9, 4, , 
2023/10/11, 9, 2, 4
2023/10/12, 5, 3, 4
2023/10/13, 8, 4, 2
2023/10/14, 10, 1, 1
2023/10/15, 4, 2, 2
2023/10/16, 6, 2, 6
2023/10/17, 6, 3, 3
2023/10/18, 8, 3, 3
2023/10/19, 8, 2, 2
2023/10/20, 7, 3, 2
2023/10/21, 8, 2, 2
2023/10/22, 5, 3, 4
2023/10/23, 9, 3, 3
2023/10/24, 10, 6, 4
2023/10/25, 16, 3, 4
2023/10/26, 10, 5, 3
2023/10/27, 15, 5, 3
2023/10/28, 14, 5, 4
2023/10/29, 12, 3, 3
2023/10/30, 8, 3, 4
2023/10/31, 9, 1, 2
2023/11/1, 3, 2, 5
2023/11/2, 6, 8, 4
2023/11/3, 26, 5, 4
2023/11/4, 18, 7, 5
2023/11/5, 21, 7, 5
2023/11/6, 22, 5, 7
2023/11/7, 16, 4, 9
2023/11/8, 14, 4, 8
2023/11/9, 13, 5, 7
2023/11/10, 17, 8, 8
2023/11/11, 24, 4, 2
2023/11/12, 12, 3, 3
2023/11/13, 10, 3, 3
2023/11/14, 9, 4, 5
2023/11/15, 13, 5, 3
2023/11/16, 14, 13, 11
2023/11/17, 23, 8, 4
2023/11/18, 22, 7, 5
2023/11/19, 19, 7, 9
2023/11/20, 22, 3, 5
2023/11/21, 11, 4, 7
2023/11/22, 14, 2, 4
2023/11/23, 5, 4, 2
2023/11/24, 9, 4, 2
2023/11/25, 12, 3, 3
2023/11/26, 9, 4, 4
2023/11/27, 12, 5, 6
2023/11/28, 15, 6, 14
2023/11/29, 19, 5, 4
2023/11/30, 16, 4, 4
2023/12/1, 14, 6, 3
2023/12/2, 20, 5, 4
2023/12/3, 17, 6, 8
2023/12/4, 21, 8, 9
2023/12/5, 28, 14, 18
2023/12/6, 43, 10, 15
2023/12/7, 34, 10, 9
2023/12/8, 34, 9, 4
2023/12/9, 29, 14, 4
2023/12/10, 46, 9, 4
2023/12/11, 29, 7, 5
2023/12/12, 21, 6, 4
2023/12/13, 19, 5, 4
2023/12/14, 17, 7, 9
2023/12/15, 24, 4, 4
2023/12/16, 13, 4, 5
2023/12/17, 13, 2, 3
2023/12/18, 8, 5, 3
2023/12/19, 9, 4, 11
2023/12/20, 14, 3, 5
2023/12/21, 11, 2, 3
2023/12/22, 5, 3, 2
2023/12/23, 9, 4, 5
2023/12/24, 15, 2, 3
2023/12/25, 6, 4, 4
2023/12/26, 15, 3, 3
2023/12/27, 10, 4, 8
2023/12/28, 12, 5, 14
2023/12/29, 15, 5, 4
2023/12/30, 15, 3, 3
2023/12/31, 11, 4, 2
2023/7/1, 20, 5, 3
2023/7/2, 15, 4, 3
2023/7/3, 11, 7, 3
2023/7/4, 14, 6, 3
2023/7/5, 16, 5, 4
2023/7/6, 13, 5, 3
2023/7/7, 13, 7, 3
2023/7/8, 20, 6, 4
2023/7/9, 17, 5, 5
2023/7/10, 12, 8, 3
2023/7/11, 18, 10, 3
2023/7/12, 21, 6, 3
2023/7/13, 15, 4, 2
2023/7/14, 12, 4, 2
2023/7/15, 11, 6, 3
2023/7/16, 17, 6, 3
2023/7/17, 14, 4, 2
2023/7/18, 8, 4, 2
2023/7/19, 9, 5, 3
2023/7/20, 10, 5, 4
2023/7/21, 14, 3, 2
2023/7/22, 9, 3, 2
2023/7/23, 10, 5, 4
2023/7/24, 11, 8, 6
2023/7/25, 22, 4, 2
2023/7/26, 11, 4, 4
2023/7/27, 9, 4, 4
2023/7/28, 10, 4, 2
2023/7/29, 11, 7, 6
2023/7/30, 20, 6, 7
2023/7/31, 21, 4, 5
2023/8/1, 10, 3, 3
2023/8/2, 9, 6, 5
2023/8/3, 17, 4, 3
2023/8/4, 13, 7, 3
2023/8/5, 21, 7, 4
2023/8/6, 23, 17, 4
2023/8/7, 46, 2, 3
2023/8/8, 5, 4, 3
2023/8/9, 9, 3, 3
2023/8/10, 8, 4, 4
2023/8/11, 10, 5, 4
2023/8/12, 12, 5, 3
2023/8/13, 15, 9, 5
2023/8/14, 22, 10, 5
2023/8/15, 24, 11, 3
2023/8/16, 32, 5, 3
2023/8/17, 11, 4, 2
2023/8/18, 11, 6, 2
2023/8/19, 17, 6, 4
2023/8/20, 20, 7, 2
2023/8/21, 22, 5, 2
2023/8/22, 16, 6, 3
2023/8/23, 17, 6, 4
2023/8/24, 17, 8, 8
2023/8/25, 22, 7, 2
2023/8/26, 22, 5, 2
2023/8/27, 16, 5, 5
2023/8/28, 14, 5, 3
2023/8/29, 12, 4, 4
2023/8/30, 12, 4, 4
2023/8/31, 11, 5, 7
2023/9/1, 14, 3, 1
2023/9/2, 9, 3, 2
2023/9/3, 9, 6, 4
2023/9/4, 18, 5, 2
2023/9/5, 15, 4, 5
2023/9/6, 9, 4, 5
2023/9/7, 9, 11, 4
2023/9/8, 32, 12, 4
2023/9/9, 35, 19, 2
2023/9/10, 55, 14, 4
2023/9/11, 45, 14, 6
2023/9/12, 43, 4, 3
2023/9/13, 12, 5, 5
2023/9/14, 10, 6, 6
2023/9/15, 14, 4, 2
2023/9/16, 11, 3, 3
2023/9/17, 8, 4, 4
2023/9/18, 9, 10, 3
2023/9/19, 26, 3, 3
2023/9/20, 8, 7, 3
2023/9/21, 20, 11, 4
2023/9/22, 34, 5, 3
2023/9/23, 14, 3, 3
2023/9/24, 9, 4, 4
2023/9/25, 12, 8, 6
2023/9/26, 22, 11, 7
2023/9/27, 35, 16, 8
2023/9/28, 48, 10, 6
2023/9/29, 30, 5, 1
2023/9/30, 14, 3, 2
2023/4/5, 11, 18, 7
